-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2021 
Location: Latitude  10.5995   Longitude 7.9969 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 703.67 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
RH2M               MERRA-2 Relative Humidity at 2 Meters (%) 
T2M_MAX            MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN            MERRA-2 Temperature at 2 Meters Minimum (C) 
T2M_RANGE          MERRA-2 Temperature at 2 Meters Range (C) 
WS10M_MAX          MERRA-2 Wind Speed at 10 Meters Maximum (m/s) 
WS10M_MIN          MERRA-2 Wind Speed at 10 Meters Minimum (m/s) 
PRECTOTCORR        MERRA-2 Precipitation Corrected (mm/day) 
ALLSKY_SRF_ALB     CERES SYN1deg All Sky Surface Albedo (dimensionless) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
RH2M,1981,31.19,23.81,31.06,51.62,76.75,79.0,86.62,86.06,86.25,75.44,58.0,38.0,60.5
RH2M,1982,38.25,32.44,43.69,65.69,77.38,81.38,85.12,87.38,83.94,81.69,61.38,48.06,65.75
RH2M,1983,29.56,26.75,23.19,37.69,71.06,79.75,85.88,87.81,84.88,67.19,54.88,49.19,58.31
RH2M,1984,32.56,26.62,45.88,62.56,81.0,83.44,84.56,84.62,85.69,78.69,59.06,49.81,64.69
RH2M,1985,40.25,20.62,48.06,52.81,73.19,82.88,85.88,85.81,85.06,73.19,56.44,40.0,62.25
RH2M,1986,28.62,27.62,50.38,62.25,74.12,81.44,86.31,84.81,85.25,76.19,67.44,51.38,64.88
RH2M,1987,36.31,29.69,40.94,31.19,54.06,77.31,83.06,86.06,84.69,76.12,56.81,43.5,58.5
RH2M,1988,33.31,25.25,29.75,59.19,72.56,84.56,88.12,90.69,86.94,76.38,62.88,54.88,63.81
RH2M,1989,32.62,23.75,30.75,50.88,73.38,81.94,87.44,87.94,87.31,79.0,63.56,53.0,62.88
RH2M,1990,38.06,26.06,18.75,60.0,80.44,84.56,86.19,85.56,84.44,77.75,64.69,52.31,63.44
RH2M,1991,32.75,33.06,37.12,62.94,79.81,85.62,88.0,89.56,85.19,80.88,59.69,44.88,65.12
RH2M,1992,33.62,19.62,36.62,59.69,80.81,85.5,87.38,89.62,86.38,77.62,64.06,51.25,64.5
RH2M,1993,36.75,29.5,39.44,50.25,78.94,84.5,86.38,88.56,85.75,78.56,62.69,51.94,64.62
RH2M,1994,39.5,24.75,35.25,64.19,76.38,84.5,87.81,90.75,89.0,84.44,66.69,56.0,66.81
RH2M,1995,42.06,33.88,40.56,59.31,79.19,85.44,87.62,88.88,86.56,83.62,65.75,54.75,67.5
RH2M,1996,38.88,33.38,45.94,56.12,77.62,84.88,87.56,88.31,87.25,80.25,63.56,50.62,66.31
RH2M,1997,38.56,23.69,40.94,65.69,80.31,84.38,86.06,86.88,84.5,82.25,62.5,48.75,65.62
RH2M,1998,33.56,25.12,20.38,59.94,82.06,85.5,87.56,89.19,87.38,78.06,62.5,51.12,63.75
RH2M,1999,37.75,35.12,33.25,43.06,57.19,70.25,76.69,81.62,70.88,64.69,34.0,21.69,52.31
RH2M,2000,21.06,18.5,18.56,39.56,54.0,85.62,88.0,86.5,85.19,77.19,58.19,52.75,57.19
RH2M,2001,33.62,26.75,28.56,61.88,77.81,84.19,86.31,87.88,84.19,71.38,55.69,39.31,61.62
RH2M,2002,26.25,21.31,31.69,63.38,72.94,84.88,85.25,85.69,85.25,75.06,57.94,39.94,61.0
